2026-01-18 14:10:47,750 | INFO     | Ejecutando comando: generate
2026-01-18 14:10:59,929 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=16,502,163 | LGD=0.40 | PD_prob=0.47 | RW_disc=1.50 | DPD=439 | Book=7,102,827.86 (provided) | Price_neto=2,425,325.57 | Price/EAD=0.147 | Price/Book=0.341 | fire_sale=True (thr=0.85)
2026-01-18 14:10:59,932 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=2,541,160 | LGD=0.40 | PD_prob=0.41 | RW_disc=1.50 | DPD=130 | Book=1,429,269.43 (provided) | Price_neto=399,734.27 | Price/EAD=0.157 | Price/Book=0.280 | fire_sale=True (thr=0.85)
2026-01-18 14:10:59,937 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=5,519,872 | LGD=0.40 | PD_prob=0.51 | RW_disc=1.50 | DPD=470 | Book=2,646,805.71 (provided) | Price_neto=772,167.98 | Price/EAD=0.140 | Price/Book=0.292 | fire_sale=True (thr=0.85)
2026-01-18 14:10:59,947 | INFO     | 🪙 Simulación precio NPL → seg=MORTGAGE | EAD=271,409 | LGD=0.40 | PD_prob=0.46 | RW_disc=1.00 | DPD=210 | Book=144,185.34 (provided) | Price_neto=56,743.63 | Price/EAD=0.209 | Price/Book=0.394 | fire_sale=True (thr=0.85)
2026-01-18 14:10:59,963 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=4,518,184 | LGD=0.39 | PD_prob=0.46 | RW_disc=1.50 | DPD=390 | Book=2,321,285.77 (provided) | Price_neto=641,289.75 | Price/EAD=0.142 | Price/Book=0.276 | fire_sale=True (thr=0.85)
2026-01-18 14:10:59,978 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=256,686 | LGD=0.42 | PD_prob=0.43 | RW_disc=1.50 | DPD=102 | Book=149,578.37 (provided) | Price_neto=36,533.91 | Price/EAD=0.142 | Price/Book=0.244 | fire_sale=True (thr=0.85)
2026-01-18 14:10:59,991 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=6,589,599 | LGD=0.47 | PD_prob=0.44 | RW_disc=1.50 | DPD=154 | Book=3,059,201.46 (provided) | Price_neto=722,869.17 | Price/EAD=0.110 | Price/Book=0.236 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,002 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=3,468,421 | LGD=0.53 | PD_prob=0.43 | RW_disc=1.50 | DPD=103 | Book=1,542,444.46 (provided) | Price_neto=349,597.76 | Price/EAD=0.101 | Price/Book=0.227 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,034 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=193,540 | LGD=0.41 | PD_prob=0.44 | RW_disc=1.50 | DPD=354 | Book=82,774.46 (provided) | Price_neto=22,648.93 | Price/EAD=0.117 | Price/Book=0.274 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,038 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=20,711,661 | LGD=0.40 | PD_prob=0.47 | RW_disc=1.50 | DPD=533 | Book=9,229,740.18 (provided) | Price_neto=3,007,794.23 | Price/EAD=0.145 | Price/Book=0.326 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,042 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=713,168 | LGD=0.59 | PD_prob=0.45 | RW_disc=1.50 | DPD=163 | Book=294,830.59 (provided) | Price_neto=54,409.59 | Price/EAD=0.076 | Price/Book=0.185 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,044 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=880,982 | LGD=0.40 | PD_prob=0.44 | RW_disc=1.50 | DPD=275 | Book=448,400.40 (provided) | Price_neto=126,697.73 | Price/EAD=0.144 | Price/Book=0.283 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,048 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=600,526 | LGD=0.40 | PD_prob=0.49 | RW_disc=1.50 | DPD=388 | Book=181,665.15 (provided) | Price_neto=69,448.19 | Price/EAD=0.116 | Price/Book=0.382 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,055 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=1,976,778 | LGD=0.39 | PD_prob=0.41 | RW_disc=1.50 | DPD=197 | Book=809,580.54 (provided) | Price_neto=255,597.91 | Price/EAD=0.129 | Price/Book=0.316 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,061 | INFO     | 🪙 Simulación precio NPL → seg=MORTGAGE | EAD=155,664 | LGD=0.40 | PD_prob=0.46 | RW_disc=1.00 | DPD=236 | Book=85,333.20 (provided) | Price_neto=32,190.68 | Price/EAD=0.207 | Price/Book=0.377 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,070 | INFO     | 🪙 Simulación precio NPL → seg=OTHER | EAD=5,713,130 | LGD=0.51 | PD_prob=0.45 | RW_disc=1.50 | DPD=169 | Book=2,390,789.63 (provided) | Price_neto=496,344.41 | Price/EAD=0.087 | Price/Book=0.208 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,073 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=86,206 | LGD=0.40 | PD_prob=0.39 | RW_disc=1.50 | DPD=130 | Book=45,700.30 (provided) | Price_neto=13,243.71 | Price/EAD=0.154 | Price/Book=0.290 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,112 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=25,110,857 | LGD=0.56 | PD_prob=0.47 | RW_disc=1.50 | DPD=265 | Book=9,121,032.17 (provided) | Price_neto=2,105,126.98 | Price/EAD=0.084 | Price/Book=0.231 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,133 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=4,230,950 | LGD=0.40 | PD_prob=0.36 | RW_disc=1.50 | DPD=173 | Book=2,025,956.49 (provided) | Price_neto=578,869.74 | Price/EAD=0.137 | Price/Book=0.286 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,138 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=47,389,393 | LGD=0.40 | PD_prob=0.46 | RW_disc=1.50 | DPD=264 | Book=18,503,393.00 (provided) | Price_neto=5,850,151.86 | Price/EAD=0.123 | Price/Book=0.316 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,144 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=24,863,989 | LGD=0.41 | PD_prob=0.47 | RW_disc=1.50 | DPD=325 | Book=9,650,260.74 (provided) | Price_neto=2,973,329.58 | Price/EAD=0.120 | Price/Book=0.308 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,148 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=4,699,487 | LGD=0.40 | PD_prob=0.48 | RW_disc=1.50 | DPD=641 | Book=1,645,187.84 (provided) | Price_neto=535,569.90 | Price/EAD=0.114 | Price/Book=0.326 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,153 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=6,105,035 | LGD=0.40 | PD_prob=0.42 | RW_disc=1.50 | DPD=347 | Book=2,571,550.24 (provided) | Price_neto=735,994.73 | Price/EAD=0.121 | Price/Book=0.286 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,184 | INFO     | 🪙 Simulación precio NPL → seg=MORTGAGE | EAD=302,528 | LGD=0.40 | PD_prob=0.40 | RW_disc=1.00 | DPD=216 | Book=180,685.16 (provided) | Price_neto=65,885.14 | Price/EAD=0.218 | Price/Book=0.365 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,202 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=2,674,996 | LGD=0.67 | PD_prob=0.46 | RW_disc=1.50 | DPD=197 | Book=1,357,301.24 (provided) | Price_neto=204,810.29 | Price/EAD=0.077 | Price/Book=0.151 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,214 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=5,241,930 | LGD=0.39 | PD_prob=0.42 | RW_disc=1.50 | DPD=191 | Book=2,719,291.78 (provided) | Price_neto=685,609.04 | Price/EAD=0.131 | Price/Book=0.252 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,228 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=1,303,801 | LGD=0.67 | PD_prob=0.50 | RW_disc=1.50 | DPD=234 | Book=424,978.34 (provided) | Price_neto=82,200.50 | Price/EAD=0.063 | Price/Book=0.193 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,234 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=10,018,366 | LGD=0.49 | PD_prob=0.43 | RW_disc=1.50 | DPD=128 | Book=5,227,956.02 (provided) | Price_neto=1,283,340.11 | Price/EAD=0.128 | Price/Book=0.245 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,277 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=40,429,145 | LGD=0.41 | PD_prob=0.42 | RW_disc=1.50 | DPD=227 | Book=18,776,235.91 (provided) | Price_neto=4,996,709.64 | Price/EAD=0.124 | Price/Book=0.266 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,281 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=2,007,507 | LGD=0.44 | PD_prob=0.43 | RW_disc=1.50 | DPD=110 | Book=1,068,428.57 (provided) | Price_neto=286,831.79 | Price/EAD=0.143 | Price/Book=0.268 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,313 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=7,437,226 | LGD=0.40 | PD_prob=0.40 | RW_disc=1.50 | DPD=204 | Book=4,138,250.69 (provided) | Price_neto=1,199,577.97 | Price/EAD=0.161 | Price/Book=0.290 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,319 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=1,178,602 | LGD=0.40 | PD_prob=0.42 | RW_disc=1.50 | DPD=180 | Book=479,653.39 (provided) | Price_neto=148,198.12 | Price/EAD=0.126 | Price/Book=0.309 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,325 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=7,780,325 | LGD=0.44 | PD_prob=0.54 | RW_disc=1.50 | DPD=422 | Book=3,288,220.64 (provided) | Price_neto=976,071.02 | Price/EAD=0.125 | Price/Book=0.297 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,329 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=403,351 | LGD=0.50 | PD_prob=0.53 | RW_disc=1.50 | DPD=360 | Book=157,609.35 (provided) | Price_neto=43,851.35 | Price/EAD=0.109 | Price/Book=0.278 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,333 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=157,830 | LGD=0.40 | PD_prob=0.44 | RW_disc=1.50 | DPD=246 | Book=72,425.63 (provided) | Price_neto=22,860.67 | Price/EAD=0.145 | Price/Book=0.316 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,340 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=1,886,147 | LGD=0.40 | PD_prob=0.46 | RW_disc=1.50 | DPD=294 | Book=753,343.05 (provided) | Price_neto=229,650.91 | Price/EAD=0.122 | Price/Book=0.305 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,344 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=257,197 | LGD=0.40 | PD_prob=0.41 | RW_disc=1.50 | DPD=125 | Book=139,271.04 (provided) | Price_neto=38,535.99 | Price/EAD=0.150 | Price/Book=0.277 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,354 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=521,547 | LGD=0.47 | PD_prob=0.43 | RW_disc=1.50 | DPD=117 | Book=273,681.01 (provided) | Price_neto=66,569.21 | Price/EAD=0.128 | Price/Book=0.243 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,364 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=7,866,964 | LGD=0.39 | PD_prob=0.41 | RW_disc=1.50 | DPD=208 | Book=3,732,746.22 (provided) | Price_neto=1,013,081.01 | Price/EAD=0.129 | Price/Book=0.271 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,370 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=7,998,024 | LGD=0.40 | PD_prob=0.39 | RW_disc=1.50 | DPD=156 | Book=3,647,715.39 (provided) | Price_neto=1,068,595.86 | Price/EAD=0.134 | Price/Book=0.293 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,389 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=1,181,527 | LGD=0.41 | PD_prob=0.40 | RW_disc=1.50 | DPD=212 | Book=556,788.98 (provided) | Price_neto=143,906.86 | Price/EAD=0.122 | Price/Book=0.258 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,393 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=9,615,203 | LGD=0.40 | PD_prob=0.39 | RW_disc=1.50 | DPD=162 | Book=4,407,943.67 (provided) | Price_neto=1,281,471.00 | Price/EAD=0.133 | Price/Book=0.291 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,397 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=17,367,271 | LGD=0.40 | PD_prob=0.41 | RW_disc=1.50 | DPD=115 | Book=8,178,823.60 (provided) | Price_neto=2,303,414.56 | Price/EAD=0.133 | Price/Book=0.282 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,408 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=17,775,786 | LGD=0.47 | PD_prob=0.48 | RW_disc=1.50 | DPD=191 | Book=8,645,032.11 (provided) | Price_neto=2,260,096.39 | Price/EAD=0.127 | Price/Book=0.261 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,420 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=784,636 | LGD=0.40 | PD_prob=0.42 | RW_disc=1.50 | DPD=195 | Book=436,996.92 (provided) | Price_neto=113,662.63 | Price/EAD=0.145 | Price/Book=0.260 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,446 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=444,377 | LGD=0.40 | PD_prob=0.50 | RW_disc=1.50 | DPD=733 | Book=149,626.43 (provided) | Price_neto=49,184.19 | Price/EAD=0.111 | Price/Book=0.329 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,465 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=913,469 | LGD=0.41 | PD_prob=0.40 | RW_disc=1.50 | DPD=234 | Book=471,695.75 (provided) | Price_neto=132,173.45 | Price/EAD=0.145 | Price/Book=0.280 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,474 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=1,016,806 | LGD=0.53 | PD_prob=0.43 | RW_disc=1.50 | DPD=152 | Book=526,762.37 (provided) | Price_neto=113,987.26 | Price/EAD=0.112 | Price/Book=0.216 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,477 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=41,113,892 | LGD=0.49 | PD_prob=0.53 | RW_disc=1.50 | DPD=463 | Book=10,708,149.93 (provided) | Price_neto=3,925,195.85 | Price/EAD=0.095 | Price/Book=0.367 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,481 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=441,144 | LGD=0.40 | PD_prob=0.42 | RW_disc=1.50 | DPD=224 | Book=167,812.35 (provided) | Price_neto=54,686.74 | Price/EAD=0.124 | Price/Book=0.326 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,507 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=41,742,010 | LGD=0.40 | PD_prob=0.37 | RW_disc=1.50 | DPD=176 | Book=22,756,211.93 (provided) | Price_neto=6,777,705.73 | Price/EAD=0.162 | Price/Book=0.298 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,555 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=9,318,197 | LGD=0.39 | PD_prob=0.42 | RW_disc=1.50 | DPD=226 | Book=4,665,382.87 (provided) | Price_neto=1,202,185.05 | Price/EAD=0.129 | Price/Book=0.258 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,578 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=1,608,786 | LGD=0.40 | PD_prob=0.38 | RW_disc=1.50 | DPD=201 | Book=897,107.88 (provided) | Price_neto=241,793.86 | Price/EAD=0.150 | Price/Book=0.270 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,592 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=2,279,450 | LGD=0.39 | PD_prob=0.43 | RW_disc=1.50 | DPD=145 | Book=1,061,070.64 (provided) | Price_neto=289,312.55 | Price/EAD=0.127 | Price/Book=0.273 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,649 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=1,458,382 | LGD=0.39 | PD_prob=0.39 | RW_disc=1.50 | DPD=152 | Book=610,404.00 (provided) | Price_neto=186,986.36 | Price/EAD=0.128 | Price/Book=0.306 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,673 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=1,107,461 | LGD=0.40 | PD_prob=0.37 | RW_disc=1.50 | DPD=149 | Book=686,677.18 (provided) | Price_neto=172,126.79 | Price/EAD=0.155 | Price/Book=0.251 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,692 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=4,445,915 | LGD=0.54 | PD_prob=0.46 | RW_disc=1.50 | DPD=248 | Book=2,136,704.45 (provided) | Price_neto=442,359.91 | Price/EAD=0.099 | Price/Book=0.207 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,703 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=190,026 | LGD=0.41 | PD_prob=0.37 | RW_disc=1.50 | DPD=202 | Book=113,181.79 (provided) | Price_neto=28,508.64 | Price/EAD=0.150 | Price/Book=0.252 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,719 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=5,705,885 | LGD=0.40 | PD_prob=0.44 | RW_disc=1.50 | DPD=181 | Book=2,915,179.43 (provided) | Price_neto=843,060.89 | Price/EAD=0.148 | Price/Book=0.289 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,724 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=3,388,132 | LGD=0.40 | PD_prob=0.37 | RW_disc=1.50 | DPD=115 | Book=1,860,130.93 (provided) | Price_neto=561,913.36 | Price/EAD=0.166 | Price/Book=0.302 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,755 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=7,005,925 | LGD=0.40 | PD_prob=0.37 | RW_disc=1.50 | DPD=147 | Book=3,145,934.17 (provided) | Price_neto=955,867.79 | Price/EAD=0.136 | Price/Book=0.304 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,763 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=19,190,637 | LGD=0.39 | PD_prob=0.37 | RW_disc=1.50 | DPD=224 | Book=9,534,676.02 (provided) | Price_neto=2,603,822.23 | Price/EAD=0.136 | Price/Book=0.273 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,781 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=16,927,402 | LGD=0.40 | PD_prob=0.36 | RW_disc=1.50 | DPD=127 | Book=8,128,984.88 (provided) | Price_neto=2,363,848.16 | Price/EAD=0.140 | Price/Book=0.291 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,791 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=3,914,196 | LGD=0.41 | PD_prob=0.40 | RW_disc=1.50 | DPD=180 | Book=2,111,909.34 (provided) | Price_neto=512,511.45 | Price/EAD=0.131 | Price/Book=0.243 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,795 | INFO     | 🪙 Simulación precio NPL → seg=OTHER | EAD=31,589,974 | LGD=0.40 | PD_prob=0.41 | RW_disc=1.50 | DPD=253 | Book=15,053,356.61 (provided) | Price_neto=4,461,993.88 | Price/EAD=0.141 | Price/Book=0.296 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,798 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=5,297,723 | LGD=0.40 | PD_prob=0.41 | RW_disc=1.50 | DPD=132 | Book=2,625,148.10 (provided) | Price_neto=696,181.71 | Price/EAD=0.131 | Price/Book=0.265 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,806 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=35,523,179 | LGD=0.38 | PD_prob=0.42 | RW_disc=1.50 | DPD=192 | Book=17,407,733.98 (provided) | Price_neto=4,688,571.00 | Price/EAD=0.132 | Price/Book=0.269 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,811 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=3,077,414 | LGD=0.39 | PD_prob=0.39 | RW_disc=1.50 | DPD=192 | Book=1,634,048.43 (provided) | Price_neto=490,424.50 | Price/EAD=0.159 | Price/Book=0.300 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,814 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=4,371,795 | LGD=0.40 | PD_prob=0.44 | RW_disc=1.50 | DPD=243 | Book=2,249,144.15 (provided) | Price_neto=667,079.84 | Price/EAD=0.153 | Price/Book=0.297 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,819 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=691,604 | LGD=0.40 | PD_prob=0.41 | RW_disc=1.50 | DPD=160 | Book=304,646.40 (provided) | Price_neto=85,246.70 | Price/EAD=0.123 | Price/Book=0.280 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,856 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=1,375,461 | LGD=0.53 | PD_prob=0.56 | RW_disc=1.50 | DPD=754 | Book=474,499.55 (provided) | Price_neto=132,323.82 | Price/EAD=0.096 | Price/Book=0.279 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,866 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=377,843 | LGD=0.49 | PD_prob=0.50 | RW_disc=1.50 | DPD=297 | Book=153,482.88 (provided) | Price_neto=35,924.25 | Price/EAD=0.095 | Price/Book=0.234 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,877 | INFO     | 🪙 Simulación precio NPL → seg=SME | EAD=245,796 | LGD=0.40 | PD_prob=0.36 | RW_disc=1.50 | DPD=125 | Book=106,831.67 (provided) | Price_neto=32,757.04 | Price/EAD=0.133 | Price/Book=0.307 | fire_sale=True (thr=0.85)
2026-01-18 14:11:00,880 | INFO     | 🪙 Simulación precio NPL → seg=CORPORATE | EAD=518,475 | LGD=0.40 | PD_prob=0.39 | RW_disc=1.50 | DPD=173 | Book=226,772.85 (provided) | Price_neto=68,802.33 | Price/EAD=0.133 | Price/Book=0.303 | fire_sale=True (thr=0.85)
